 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
55:13 |     1 |     3.000e-04 | 304695.3953 |       3704.5789 |   156.4007 |         28.5761 |            3026
55:58 |     2 |     3.000e-04 |  2363.5748 |       1724.6387 |    92.7060 |         19.8278 |            3026
56:43 |     3 |     3.000e-04 |  1419.1814 |       1192.1940 |    79.9307 |         16.4206 |            3026
57:28 |     4 |     3.000e-04 |  1066.8893 |        936.1101 |    67.9052 |         14.6330 |            3104
58:12 |     5 |     3.000e-04 |   873.8353 |        779.9020 |    65.3027 |         13.5376 |            3104
58:57 |     6 |     3.000e-04 |   757.3289 |        951.1987 |    91.9474 |         12.4905 |            3104
59:42 |     7 |     3.000e-04 |   646.6023 |        623.4179 |    61.4407 |         11.7722 |            3104
00:27 |     8 |     3.000e-04 |   555.8884 |        533.4980 |    49.6700 |         11.1468 |            3104
01:11 |     9 |     3.000e-04 |   515.0671 |        473.1290 |    48.9509 |         10.6068 |            3104
01:56 |    10 |     3.000e-04 |   484.6272 |        435.7929 |    45.9898 |         10.2268 |            3104
02:41 |    11 |     3.000e-04 |   465.7654 |        424.5913 |    50.2424 |          9.9148 |            3104
03:26 |    12 |     3.000e-04 |   410.1401 |        497.2718 |    56.0785 |          9.5405 |            3104
04:11 |    13 |     3.000e-04 |   397.7384 |        404.0036 |    50.5686 |          9.3910 |            3104
04:56 |    14 |     3.000e-04 |   362.8671 |        364.5501 |    43.7452 |          9.1591 |            3168
05:40 |    15 |     3.000e-04 |   345.6339 |        330.9688 |    42.5105 |          8.7989 |            3168
06:25 |    16 |     3.000e-04 |   458.6115 |        320.1275 |    41.0267 |          8.6095 |            3168
07:11 |    17 |     3.000e-04 |   333.5604 |        293.6921 |    38.1238 |          8.5317 |            3168
07:56 |    18 |     3.000e-04 |   312.7367 |        303.3292 |    40.9484 |          8.1930 |            3168
08:40 |    19 |     3.000e-04 |   340.2193 |        423.1680 |    64.9039 |          8.0792 |            3168
09:25 |    20 |     3.000e-04 |   351.1912 |        261.9917 |    35.6018 |          7.8834 |            3168
10:10 |    21 |     3.000e-04 |   276.3443 |        310.9957 |    46.3263 |          7.7763 |            3168
10:55 |    22 |     3.000e-04 |   327.0586 |        247.6138 |    37.4052 |          7.6378 |            3168
11:40 |    23 |     3.000e-04 |   280.7874 |        664.6249 |    95.8998 |          7.5280 |            3175
12:24 |    24 |     3.000e-04 |   410.3987 |        231.2097 |    32.9087 |          7.6679 |            3175
13:09 |    25 |     3.000e-04 |   280.7028 |        226.4921 |    35.1309 |          7.3659 |            3175
13:54 |    26 |     3.000e-04 |   361.0907 |        235.7591 |    37.0516 |          7.1524 |            3175
14:39 |    27 |     3.000e-04 |   293.3809 |        353.8312 |    54.7870 |          7.0798 |            3175
15:24 |    28 |     3.000e-04 |   366.3576 |        198.4421 |    29.7453 |          6.8295 |            3175
16:08 |    29 |     3.000e-04 |   420.0675 |        204.7670 |    31.3873 |          7.2744 |            3175
16:53 |    30 |     3.000e-04 |   368.9874 |        295.0842 |    52.0685 |          7.2444 |            3175
17:38 |    31 |     3.000e-04 |   681.7556 |        650.0486 |    90.5551 |          7.3270 |            3175
18:23 |    32 |     3.000e-04 |  1191.1715 |       3762.4791 |   247.2004 |          7.9488 |            3175
19:08 |    33 |     3.000e-04 |  2880.0269 |        346.3721 |    58.3175 |          6.9590 |            3175
19:52 |    34 |     3.000e-04 |   449.5231 |        302.5008 |    54.3539 |          6.3506 |            3175
20:37 |    35 |     3.000e-04 |   257.8437 |        227.2827 |    41.8252 |          6.5264 |            3175
21:22 |    36 |     3.000e-04 |   596.4058 |        429.5248 |    75.6515 |          6.2755 |            3175
22:07 |    37 |     3.000e-04 |  3193.5951 |       1843.4596 |   157.2031 |         12.7194 |            3175
22:51 |    38 |     3.000e-04 |   507.0427 |        406.1698 |    67.5486 |          5.9591 |            3175
23:36 |    39 |     3.000e-04 |   293.0842 |        206.6893 |    42.1061 |          5.8225 |            3175
24:21 |    40 |     3.000e-04 |   206.3865 |        157.8083 |    29.7035 |          5.7493 |            3175
25:06 |    41 |     3.000e-04 |   311.1607 |        464.7456 |    80.0571 |          5.7219 |            3175
25:51 |    42 |     3.000e-04 |  1776.8154 |        625.3152 |    92.6394 |          6.8320 |            3175
26:35 |    43 |     3.000e-04 |   529.9302 |        328.9552 |    62.6622 |          5.9672 |            3175
27:20 |    44 |     3.000e-04 |   508.5348 |        264.1628 |    51.3715 |          6.1307 |            3175
28:05 |    45 |     3.000e-04 |   492.3352 |        911.8783 |   114.3109 |          6.1620 |            3175
28:50 |    46 |     3.000e-04 |  2893.5668 |       1965.0211 |   182.0149 |          7.3941 |            3175
29:34 |    47 |     3.000e-04 |   422.2658 |        744.9298 |   108.1922 |          5.6746 |            3175
30:19 |    48 |     3.000e-04 |   313.1883 |        986.0239 |   120.1475 |          5.5465 |            3175
31:04 |    49 |     3.000e-04 |   266.6909 |        126.1498 |    25.1404 |          5.2606 |            3175
31:49 |    50 |     3.000e-04 |   488.4776 |       1428.3587 |   150.5355 |          5.6559 |            3175
32:34 |    51 |     3.000e-04 |   314.3496 |        208.4428 |    46.8510 |          5.2709 |            3175
33:18 |    52 |     3.000e-04 |   993.4990 |        631.2337 |    97.0735 |          6.1563 |            3175
34:03 |    53 |     3.000e-04 |   882.8874 |        389.1133 |    72.0369 |          5.6290 |            3175
34:48 |    54 |     3.000e-04 |   597.3505 |        132.1551 |    28.2389 |          5.2144 |            3175
35:33 |    55 |     3.000e-04 |   849.9676 |       1293.9567 |   148.3388 |          6.2571 |            3175
36:18 |    56 |     3.000e-04 |  1253.0133 |        523.7954 |    86.4994 |          5.4358 |            3175
37:02 |    57 |     3.000e-04 |   235.5452 |        371.3806 |    73.2134 |          4.9898 |            3175
37:47 |    58 |     3.000e-04 |   458.9624 |        420.8494 |    78.3824 |          5.2936 |            3175
38:32 |    59 |     3.000e-04 |   227.6678 |        107.1771 |    22.6264 |          4.9754 |            3175
39:17 |    60 |     3.000e-04 |   709.6313 |        461.5555 |    78.5705 |          5.9174 |            3175
40:01 |    61 |     3.000e-04 |   298.4899 |        202.2283 |    45.9403 |          5.0530 |            3175
40:46 |    62 |     3.000e-04 |   283.2295 |        527.1549 |    87.8184 |          5.1786 |            3175
41:31 |    63 |     3.000e-04 |  1017.8698 |        124.0503 |    29.8100 |          4.9440 |            3175
42:16 |    64 |     3.000e-04 |  1809.5146 |       2470.1867 |   201.5793 |          5.6688 |            3175
43:00 |    65 |     3.000e-04 |   340.5174 |        177.5955 |    43.3019 |          4.7936 |            3175
43:45 |    66 |     3.000e-04 |   194.3163 |        535.0589 |    90.7740 |          4.7213 |            3175
44:30 |    67 |     3.000e-04 |   455.2447 |        578.7313 |    97.3005 |          4.8512 |            3175
45:15 |    68 |     3.000e-04 |   789.4415 |        502.2821 |    88.2645 |          4.7235 |            3175
45:59 |    69 |     3.000e-04 |   221.2843 |        136.9660 |    34.8714 |          4.6704 |            3175
46:44 |    70 |     3.000e-04 |   203.2815 |        386.9148 |    75.3489 |          4.5102 |            3175
47:29 |    71 |     3.000e-04 |   521.0668 |       1645.3253 |   170.3163 |          6.2066 |            3175
48:14 |    72 |     3.000e-04 |   462.7128 |        115.3703 |    28.1125 |          4.9113 |            3175
48:59 |    73 |     3.000e-04 |   322.8108 |        272.3317 |    61.9314 |          4.5915 |            3175
49:43 |    74 |     3.000e-04 |   309.3219 |         93.4853 |    23.4577 |          4.4856 |            3175
50:29 |    75 |     3.000e-04 |   176.3720 |        799.8318 |   116.6776 |          4.3862 |            3175
51:14 |    76 |     3.000e-04 |   708.3166 |       1132.4875 |   128.1024 |          5.7134 |            3175
51:58 |    77 |     3.000e-04 |   539.5491 |         79.3152 |    19.2414 |          4.3396 |            3175
52:43 |    78 |     3.000e-04 |   135.9255 |        108.5665 |    29.9745 |          4.2579 |            3175
53:28 |    79 |     3.000e-04 |   251.0035 |       1301.9134 |   141.0795 |          4.7818 |            3175
54:13 |    80 |     3.000e-04 |   321.2665 |        101.5933 |    29.6526 |          4.2641 |            3175
54:58 |    81 |     3.000e-04 |   156.7419 |        233.2321 |    56.1318 |          4.3257 |            3175
55:42 |    82 |     3.000e-04 |   225.6974 |        145.0128 |    41.3912 |          4.2278 |            3175
56:27 |    83 |     3.000e-04 |   372.2676 |        550.6879 |    94.1586 |          4.3156 |            3175
57:12 |    84 |     3.000e-04 |   250.4607 |        175.0758 |    47.1797 |          4.1302 |            3175
57:57 |    85 |     3.000e-04 |   302.9092 |        721.2071 |   111.8466 |          4.4930 |            3175
58:42 |    86 |     3.000e-04 |   232.6502 |        469.0528 |    87.7692 |          4.1022 |            3175
59:26 |    87 |     3.000e-04 |   175.9468 |         93.0634 |    26.4563 |          4.0689 |            3175
00:11 |    88 |     3.000e-04 |   505.2637 |        519.5675 |    79.6266 |          5.5722 |            3175
00:56 |    89 |     3.000e-04 |  1145.8424 |        560.3767 |    76.6372 |          6.6737 |            3175
01:41 |    90 |     3.000e-04 |   215.9428 |         91.6136 |    23.7687 |          4.3459 |            3175
02:25 |    91 |     3.000e-04 |    88.0443 |         58.6374 |    14.4046 |          4.0947 |            3175
03:10 |    92 |     3.000e-04 |   147.9983 |         90.9447 |    28.8589 |          4.0035 |            3175
03:55 |    93 |     3.000e-04 |    89.4352 |         68.9295 |    21.7895 |          3.8950 |            3175
04:40 |    94 |     3.000e-04 |    90.7991 |         60.8060 |    19.7044 |          3.8314 |            3175
05:25 |    95 |     3.000e-04 |    75.9082 |         55.3045 |    16.8739 |          3.8743 |            3175
06:10 |    96 |     3.000e-04 |   312.9112 |        613.9287 |    98.6430 |          4.4388 |            3175
06:55 |    97 |     3.000e-04 |   172.5528 |         62.1437 |    21.3446 |          3.6780 |            3175
07:39 |    98 |     3.000e-04 |   137.1957 |        155.6494 |    42.5099 |          4.0364 |            3175
08:24 |    99 |     3.000e-04 |   216.1096 |        301.5253 |    64.9143 |          4.0112 |            3175
09:09 |   100 |     3.000e-04 |   193.0006 |        492.5553 |    91.9149 |          3.9759 |            3175
09:54 |   101 |     3.000e-04 |   211.7321 |         47.4655 |    13.2799 |          3.7271 |            3175
10:39 |   102 |     3.000e-04 |    64.0508 |         70.6635 |    25.0436 |          3.5807 |            3175
11:23 |   103 |     3.000e-04 |   153.5600 |         44.3382 |    12.0441 |          3.6777 |            3175
