the training has failed
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
18:19 |     1 |     1.500e-04 |   706.9321 |         75.5749 |    18.2298 |          4.2829 |            4911
20:07 |     2 |     1.500e-04 |    81.4889 |         65.7320 |    15.3798 |          3.9920 |            4911
21:55 |     3 |     1.500e-04 |    82.5844 |         73.4424 |    18.0092 |          4.1115 |            4911
23:43 |     4 |     1.500e-04 |    91.3097 |         91.7678 |    19.7738 |          4.6426 |            4911
25:31 |     5 |     1.500e-04 |   113.6920 |         70.2621 |    16.7094 |          4.1710 |            4911
27:18 |     6 |     1.500e-04 |    97.1315 |         77.9090 |    21.7904 |          3.8317 |            4911
29:06 |     7 |     1.500e-04 |    89.1728 |        102.4232 |    28.7588 |          4.0120 |            4911
30:54 |     8 |     1.500e-04 |   111.0625 |         69.3974 |    18.8291 |          3.9291 |            4911
32:42 |     9 |     1.500e-04 |    92.9312 |         72.1968 |    17.3774 |          4.0215 |            4911
34:29 |    10 |     1.500e-04 |    90.5897 |         83.4075 |    24.2320 |          3.7468 |            4911
36:17 |    11 |     1.500e-04 |   130.2856 |         88.6172 |    20.2963 |          4.6541 |            4911
38:05 |    12 |     1.500e-04 |    84.7323 |         92.4360 |    25.2350 |          3.8661 |            4911
39:53 |    13 |     1.500e-04 |   107.7048 |         88.3077 |    23.2617 |          4.2704 |            4911
41:41 |    14 |     1.500e-04 |    77.9462 |         62.6907 |    16.4304 |          3.7600 |            4952
43:29 |    15 |     1.500e-04 |    94.4847 |         76.9912 |    21.1768 |          3.8951 |            4952
45:18 |    16 |     1.500e-04 |    93.3325 |         67.0621 |    16.2691 |          3.9518 |            5022
47:06 |    17 |     1.500e-04 |    87.9093 |         72.8513 |    20.2660 |          3.7325 |            5022
48:54 |    18 |     1.500e-04 |    71.4573 |         52.8642 |    14.4944 |          3.5530 |            5022
50:42 |    19 |     1.500e-04 |    85.2744 |         59.6230 |    16.5795 |          3.6221 |            5022
52:30 |    20 |     1.500e-04 |   161.0345 |        152.7143 |    37.3694 |          3.9926 |            5022
54:18 |    21 |     1.500e-04 |    91.4383 |         70.2772 |    20.1704 |          3.6064 |            5022
56:06 |    22 |     1.500e-04 |    72.2003 |         67.4055 |    19.9179 |          3.4977 |            5022
57:54 |    23 |     1.500e-04 |    74.8736 |         52.6188 |    15.3803 |          3.3738 |            5022
59:42 |    24 |     1.500e-04 |    69.4330 |         57.5009 |    17.9372 |          3.2727 |            5022
01:29 |    25 |     1.500e-04 |    68.1744 |         96.4223 |    31.0742 |          3.3893 |            5022
03:17 |    26 |     1.500e-04 |    78.7663 |         65.0769 |    18.3519 |          3.6950 |            5027
05:05 |    27 |     1.500e-04 |    81.7589 |         76.0514 |    20.3364 |          3.9595 |            5027
06:52 |    28 |     1.500e-04 |    92.3677 |         45.4335 |    12.7160 |          3.3082 |            5027
08:40 |    29 |     1.500e-04 |    66.3835 |         98.3253 |    32.6169 |          3.2792 |            5027
10:28 |    30 |     1.500e-04 |    82.2508 |         82.5372 |    28.1019 |          3.3737 |            5027
12:16 |    31 |     1.500e-04 |   102.1311 |         54.8222 |    15.1134 |          3.5645 |            5027
14:04 |    32 |     1.500e-04 |    73.6869 |        316.5371 |    59.0977 |          3.9230 |            5027
15:52 |    33 |     1.500e-04 |   120.4085 |         48.0062 |    14.2323 |          3.1274 |            5027
17:40 |    34 |     1.500e-04 |    62.1241 |         43.3642 |    11.2705 |          3.3387 |            5027
19:28 |    35 |     1.500e-04 |    79.4256 |         50.2896 |    15.2849 |          3.2970 |            5027
21:16 |    36 |     1.500e-04 |    67.7495 |        186.3677 |    48.7674 |          3.2088 |            5027
23:04 |    37 |     1.500e-04 |    97.1045 |         63.6732 |    21.0053 |          3.4224 |            5027
24:52 |    38 |     1.500e-04 |    70.0135 |         55.4003 |    16.3860 |          3.5711 |            5027
26:40 |    39 |     1.500e-04 |    65.4084 |         52.4751 |    16.0311 |          3.4736 |            5027
