 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
52:47 |     1 |     3.000e-04 | 154613.4744 |       4776.7746 |   173.4253 |         31.1664 |            4688
54:35 |     2 |     3.000e-04 |  3645.3031 |       2437.7582 |   111.1497 |         24.3676 |            4874
56:23 |     3 |     3.000e-04 |  2193.6161 |       2339.3423 |   134.5362 |         20.6165 |            4874
58:11 |     4 |     3.000e-04 |  1708.5244 |       1403.6952 |    79.3892 |         19.7100 |            4874
59:59 |     5 |     3.000e-04 |  1566.9677 |       1276.2811 |    91.3520 |         17.0042 |            4878
01:47 |     6 |     3.000e-04 |  1147.5180 |        907.5007 |    64.3902 |         16.0811 |            4878
03:34 |     7 |     3.000e-04 |  1767.6612 |       1201.3129 |    91.4146 |         16.6791 |            4878
05:23 |     8 |     3.000e-04 |  1500.4976 |       5418.4019 |   287.9076 |         16.1377 |            4878
07:11 |     9 |     3.000e-04 |  2037.1298 |       1014.2813 |    80.0310 |         15.2337 |            4878
08:59 |    10 |     3.000e-04 |  1298.6081 |       1456.0786 |   121.0174 |         14.4822 |            4878
10:47 |    11 |     3.000e-04 |   984.1258 |        622.2989 |    57.8301 |         12.8520 |            4878
12:35 |    12 |     3.000e-04 |  1162.8321 |       2502.4997 |   177.6709 |         13.9641 |            4878
14:23 |    13 |     3.000e-04 |  3153.4729 |        852.9258 |    81.5687 |         13.0339 |            4878
16:12 |    14 |     3.000e-04 |  1520.1747 |       2007.4563 |   142.3527 |         12.5027 |            4952
18:01 |    15 |     3.000e-04 |  5524.9250 |        771.9549 |    69.3814 |         13.3641 |            4952
19:48 |    16 |     3.000e-04 |   761.3752 |        422.6329 |    44.9675 |         10.5572 |            4952
21:37 |    17 |     3.000e-04 |  1622.5220 |       1146.8507 |   109.0646 |         11.7477 |            4952
23:25 |    18 |     3.000e-04 |  3902.2680 |       1043.3364 |    97.6566 |         10.9697 |            4952
25:13 |    19 |     3.000e-04 |  4314.2479 |       1011.3744 |    89.1613 |         13.4825 |            4952
27:01 |    20 |     3.000e-04 |  1146.3418 |        594.9011 |    62.3673 |         11.6400 |            4952
28:49 |    21 |     3.000e-04 |  1123.9368 |       6149.1385 |   302.0130 |         12.2344 |            4952
30:38 |    22 |     3.000e-04 | 25907.0375 |       1322.1542 |    86.9629 |         17.1052 |            4952
32:26 |    23 |     3.000e-04 |  1113.3388 |        918.0041 |    70.9168 |         14.2736 |            4952
34:14 |    24 |     3.000e-04 |   850.8003 |        876.8119 |    79.0294 |         13.0325 |            4952
36:02 |    25 |     3.000e-04 |   752.2329 |        888.6123 |    83.0802 |         12.1644 |            4952
37:49 |    26 |     3.000e-04 |   752.0430 |        705.1045 |    70.1040 |         11.6647 |            4952
39:37 |    27 |     3.000e-04 |   652.9771 |        544.7891 |    55.9550 |         10.9935 |            4952
41:26 |    28 |     3.000e-04 |   597.0595 |        906.9889 |    65.5086 |         14.7934 |            4952
43:13 |    29 |     3.000e-04 |   809.8750 |        649.3451 |    65.9836 |         11.2615 |            4952
45:01 |    30 |     3.000e-04 |   636.3890 |        579.9017 |    63.9135 |         10.7465 |            4952
46:49 |    31 |     3.000e-04 |   545.6066 |        689.9381 |    78.8965 |         10.0802 |            4952
48:37 |    32 |     3.000e-04 |   517.1870 |        791.5179 |    89.0692 |          9.7464 |            4952
50:25 |    33 |     3.000e-04 |   481.9498 |        899.2526 |    97.6228 |          9.7881 |            4952
