 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
50:27 |     1 |     3.000e-04 | 1170558.5068 |      12711.1272 |   246.8352 |         65.3346 |           10185
50:42 |     2 |     3.000e-04 |  9598.7661 |       7020.4211 |   163.1510 |         49.3727 |           10185
50:57 |     3 |     3.000e-04 |  6125.5300 |       4988.1966 |   144.0358 |         41.3622 |           10186
51:12 |     4 |     3.000e-04 |  4332.9665 |       3949.0810 |   134.8459 |         36.3737 |           10186
51:27 |     5 |     3.000e-04 |  3689.4843 |       3224.0260 |   123.8502 |         32.6107 |           10186
51:42 |     6 |     3.000e-04 |  3080.7919 |       3549.0791 |   170.4320 |         30.0089 |           10186
51:57 |     7 |     3.000e-04 |  2617.8280 |       2364.3214 |   104.4772 |         27.9312 |           10186
52:12 |     8 |     3.000e-04 |  2462.6751 |       2184.8883 |    98.1909 |         26.2227 |           10186
52:27 |     9 |     3.000e-04 |  2565.5493 |       2505.5444 |   142.1228 |         24.9592 |           10186
52:42 |    10 |     3.000e-04 |  2022.4719 |       1760.9020 |    86.9310 |         23.5922 |           10186
52:57 |    11 |     3.000e-04 |  1748.7600 |       1506.0603 |    77.7742 |         22.6057 |           10186
53:12 |    12 |     3.000e-04 |  2119.1962 |       1802.5798 |   110.1914 |         21.7775 |           10186
53:27 |    13 |     3.000e-04 |  2239.8480 |       1508.8848 |    86.2050 |         21.0116 |           10186
53:42 |    14 |     3.000e-04 |  1683.3941 |       1789.2305 |   123.6315 |         20.1712 |           10186
53:57 |    15 |     3.000e-04 |  1635.7768 |       1476.5465 |   105.2763 |         19.5318 |           10186
54:12 |    16 |     3.000e-04 |  1677.4123 |       1468.7725 |   107.8807 |         18.9618 |           10190
54:27 |    17 |     3.000e-04 |  2055.6144 |       1058.9819 |    65.5369 |         18.4295 |           10190
54:42 |    18 |     3.000e-04 |  1726.7043 |       1142.6083 |    79.9109 |         18.0543 |           10190
54:57 |    19 |     3.000e-04 |  1612.5724 |       1031.2700 |    69.2150 |         17.4306 |           10190
55:12 |    20 |     3.000e-04 |  3185.1256 |       3552.7208 |   219.3754 |         16.8814 |           10190
55:27 |    21 |     3.000e-04 |  2155.1295 |       2203.8503 |   146.6569 |         17.2965 |           10190
55:42 |    22 |     3.000e-04 |  3988.5669 |       6539.0994 |   328.7078 |         17.0008 |           10191
55:57 |    23 |     3.000e-04 |  2926.4366 |      19484.6797 |   594.4614 |         16.0550 |           10191
56:12 |    24 |     3.000e-04 |  5709.7298 |       3749.0731 |   241.5471 |         15.6028 |           10191
